Title.,GLASS Window,GLASS Component/Experience,Explanation/Elaboration,Connection to UN Sustainable Development Goals/Grand Challenges,"Describe the impact this experience had on your professional, academic, and personal development/goals",Start Date,End Date,Links and Supplemental Information,Photos,Captions for Photos,Tandon Areas of Excellence,How did you find out about this opportunity?,Detailed Location,GLASS Funding Used,Semester
Break Through Tech: Artificial Intelligence,Professional Development,Special Program,"I applied for the BTTAI program in the spring of 2023, and was accepted at the beginning of the summer. I took and passed a summer course called ""Machine Learning Foundations"" over the summer. As part of the program, I have begun working with a startup called Geothara, which is a riverbed profiling initiative to track changing climate effects. They are an operating partner with Google, and the work will help with urban planning, climate prediction, and flood warning systems. ","The work with Geothara connects with goal 3) Good Health and Well-Being, 6) Clean Water and Sanitation, 9) Industry, Innovation, and Infrastructure, 13) Climate Action, 14) Life Below Water. It addresses so many of these because climate and water monitoring affects so many parts of life- sanitation, health, infrastructure, natural ecosystems and more. I'm excited to work on a project that works to improve flood prediction and climate changes. We will use GIS and FRIS data to create a machine learning model that will product riverbed profiles.","I am excited to have an opportunity to create and train a machine learning model for a project that I care about. This experience will help me understand if machine learning and artificial intelligence is a viable career path. It also connects me with extremely qualified professionals who I can learn from in field of science, technology, entreprenurship, and more.",6/1/2023,5/15/2024,"BTTAI: https://tech.cornell.edu/impact/break-through-tech/break-through-ai/

Geothara: https://geothara.com/",,I don't have pictures at the moment but I will add soem by the end of the semester.,Data Science/AI/Robotics,NYU Tandon's CSE department emailed about the opportunity.,"USA, NY, NYC",No,Fall/ Winter Senior
Computer Architecture and Organization Teaching Assistant,Academic Excellence,Employment/Job,"I have been hired this year as a teaching assistant for the computer architecture course at Tandon. In this capacity, I hold office hours, teach recitation, and grade assignments. I am excited to contribute to a course that I enjoyed myself. ","This connecte to 17) Partnerships for the Goals and 5) Gender Equality. In terms of encouraging partnerships for the goals, I do my best in my role as a TA to emphasize the role of ethics in engineering and design. In terms of gender equality, I think that courses like computer architecture can be intimidating and largely male dominated, and meeting students where they are at, encouraging questions, and responding with understanding and compassion over judgement and condesencion can make the difference in a student continuing on their academic trajectory or dropping the class. ","I am excited to help teach a class that is related to my major, both because I am passionate about it and it serves to consistently refresh my memory of the subject. Additionally, I have more agency as a teaching assistant for computer architeture to teach and explain concepts to students, which is a great opportunity to learn how to structure a lesson and explain complex concepts. I really enjoy teaching and I feel that this experience has and will continue to reinforce that. ",9/5/2023,5/15/2024,No supplemental information,,I will try to get some pictures throughout the semester but I don't have anything at the moment.,,I emailed the professor about applying to be a TA after the class ended.,"USA, NY, NYC",No,Fall/ Winter Senior
NARST Conference,Professional Development,Conference,"I attended the NARST Conference to learn about science and technologyy education. I had the opportunity to attend talks on teaching sustainability, ecology, and science in better and more effective ways.","Education ties in to many of the Grand Challenges because by teaching responsibly, ethically, and effectiely, the next generation si able to continue solving the biggest challengest facing the world. This is especially true in relation to sustainability. AN appreciation for nature and an eagerness to learn about science is important in a world that is increasingly separate and digital. ","I got to meet and talk with education experts, researchers, and teachers. This definitely opened my eyes to a side of engaging with technology that I hadn't really considered before. I could see myself teaching or working in educaitonal research one day.",3/17/2024,3/17/2024,https://narst.org/,IMG_1794.heic (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/VRlltF_kCnn72llKXYVdPg/CjfEZwp0qtufi_emeG1aPEZIw0GEotPV2ZMatuUlJH94cMA_P3Ka5rQ8kJyfCj_wzD38miV7DXTiRfePMP0cqUYNQ8rFRwAAKK06Q9bTfKiea81iYcILWEX32F8vBGsN4CCk4FJzGfpx_yWD7oTUiJUtdO8Tnb1dzipc3X0pnFY/_WM_5ujzkw2nup3qrZYr1lSwXSI2QMUBrqcFKqv0ljA),Gayatri at NARST,"Sustainability, Urban",Friends!,"Denver, Colorado, USA",Yes,Spring/Summer Senior
Robotics Coach at Erasmus Hall High School,Leadership Development,Employment/Job,"I am a robotics coach for a highs chool in Brooklyn, Erasmus Hall High School. I have spent the tiem working with students and teaching them about robotics. ","Robotics is used so broadly, espcially in health and infrastructural contexts. Exposing highs chool students to robotics as a field allows students to access these fields who might otherwise not have. This anables more global leaders and engieners.","It's been such an incredible experience. There is one particular student who came into the year not being confident, not being intereste din college, not sure she was smart enough for engineering, who is leaving this year as the most acocmplsihed and consistent student on the team. I have gotten to watch and help her grow, and that has been such a great feeling. I love sharing thigns that I love with the students and seeing them enjoy it. ",9/1/2023,5/7/2024,https://afterschoolrobotics.com/about,IMG_5333.HEIC (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/O1Ge8toL9kPktIwK72p8Jw/6bjjhzvQjd1up_jyUeSVpL5XAoh_HeInbV03aiMm-RoMmHPIqBRCTml9sp2tf96EzomDYz4t423vYWH2JAIxdGj5q539PPh7Z1NNRnB5nP34UoB0RfdmUdENggMyHn9Px3QgWfoeSlSkvrhYAHkHUtdzXSzJR4sRcln8cwELUrA/EZX2S_vaYi99x_QfIwwEXbv2sDsFRSIOxznvxB4XKUE),"Gayatri, Michael Schaffer (Founder, Coach), and students on the Erasmus Hall robotics team!",Data Science/AI/Robotics,Friend referered me.,"NYC, NY, USA",No,Spring/Summer Senior
Research Assistantship at MMVC lab,Academic Excellence,Research/Lab Work,"- Developed and implemented an innovative way to achieve multi-agent perception for semantic segmentation.
- Significantly reduced the bandwidth usage from polynomial growth to linear growth while maintaining a competitive performance
- Conducted an academic paper and aiming for publish ","My research field was mainly focusing on the computer vision, which utilizes Central Neural Network and Fully Connected Network. These networks would adjust their parameters to lower the loss function, which was basically the learning process similar to how humans learn from the experience. This is therefore related to the UN grand challenge of reverse brain engineering.","This research experience gets me familiarized with state-of-the-art techniques of computer vision as well as deep learning, which inspires me to work in this field furthermore. Also, my GLASS project was related to the computer vision, and this research experience teaches me how to conduct my own research project.",1/26/2022,6/1/2023, ,,No photos were taken :(,Communications/IT,Throught the NYUAD study away opputunity email,"NYU Abu Dhabi, Multimedia and Visual Computing Lab",No,"Spring/Summer Sophomore , Spring/Summer Junior, Fall/Winter Junior "
2022 Boston Computer Vision Summit,Professional Development,Conference,"Many tech companies including Google, Amazon came to share their state-of-the-art techniques as well as applications of computer vision technology","Computer Vision techniques is similar to human perception on visual informations, which relates to reverse brain engineering. However, with proper sensors being used, computer vision models can integrate more than RGB images, such as thermal or lidar images, to yield better results than humans. Each big tech company shared their own version of applying computer vision in their products.","This experience helps me to get to know what products embed computer vision technology, and gives me some focus on where should I study and research more to meet the industy need.",10/20/2022,10/20/2022,Computer Vision Summit | Boston (aiacceleratorinstitute.com) ,320390650_9205265349499625_5734726651828750819_n.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/R8vcz4lkE69QUdH7J-uf5g/G9ax7mtVyeyFk8MnCZHsmhvrxehtR9uDHg_ujIVQS4qW6HrUcVwzfFMcTkrVAllTRcokRuajkU_0DmWE1EuUIn35MY4ps0blKJvKKOmVmSJo3X0nzdh0j9gH5OoPgCI9__NEIzblbnayPsr3vBqDeaA8Lk2tFwsKMoBlzz0nvTT3CvdYCmiVOSmriSAY8g7A/gHP-Tr3YqcIXHUOOjM5PF-JkWGeclCcmXauteHwHOoQ),Me and Charles in the Conference,"Communications/IT, Data Science/AI/Robotics",Linkedin outreach by the organizer,"Boston, United States",Yes,Fall/Winter Junior 
NYUAD Outreach Assistantship,Leadership Development,"Employment/Job,Student Activity/Event/Club","For this outreach assistantship, I am in charge of reaching out to my peers and introduce them about the study away oppurtunities offered in NYU Abu Dhabi, and share them how the experience of studying away helps me grow as an Engineer.",This relates to the UN Sustainable Development Goals of Advancing Personalized Learning. This position enables me to promote the oppurtunity for NYC students to study away outside of America and experience college in another side of the globe. This will open up students' insight and I personally think that engineering education with global oppurtunities is part of advancing in education and personalized learning.,"This experience has helped me reaching out of my comfort zone, talking to people and present myself as well as my position. This would definately help me in my job career where I get to communicate and collaborate with the team better using the skills I learned thoughout the experience.",2/1/2023,6/1/2024, ,, ,Communications/IT,Recommendation from friend,"New York, NY, United States",No,Spring/Summer Junior
NYUAD Study Abroad,Global Competency,Study Abroad,Studied abroad in NYU Abu Dhabi and Traveled to different Emirates.,"It connects to the UN Sustainable Development goal of Advanced personalized learning. During my time studying away in Abu Dhabi, I get to meet new friends coming from different places around UAE and get to experience their culture. This was truly an eye-opening experience and I was more well-equipped with global insights. I think this is also a representation of me getting an advanced personalized learning.","The UAE cultural immersion makes me more globally awared and I got to know more about the Arab-world culture. Also, the curriculumns I take in NYUAD equips me with more state-of-the-art techiques in machine learning as well as numerical analysis.",1/26/2022,6/1/2022, ,,https://photos.app.goo.gl/9mbSjKV1shLWbFzr5,"Sustainability, Urban",GLASS requirement,"Abu Dhabi, United Arab Emirates",Yes,Spring/Summer Sophomore 
Research on Depth Estimation,Academic Excellence,Research/Lab Work,Conducting literature review and planning to research and propose an innovative way of using deep neural network to estimate the depth of a single image,"This relates to reverse brain engineering. Human beings can easily perform depth estimation with their visual perceptions. This should be taken into account when we are designing a neural network model, asking ourselves how can we make computers being able to estimate depth from an image? What kind of structure should we have to improve the accuracy and robustness of the model?","This ongoing research project is the first time that I am doing a personal research with my teammate, and I get to apply the researching skills I learned from my research experience into this personal project.",2/1/2023,6/1/2023, ,, ,"Communications/IT, Data Science/AI/Robotics",It's a class project which was turned into an academic research,"New York, NY, United States",Yes,Spring/Summer Junior
Society of Asian Scientists and Engineers 2022 Regional Conference at Boston,Professional Development,Conference,"This conference is mainly aiming for assisting Asian Engineers in Professional Development. The conference provided career fairs as well as resume reviews, and also hands on session on interview techiques.","This connects back to the advanced personal learning. We as engineers are provided with personal helps on our career development and possible future career paths. Also, we get to talk to different companies and learn about their interested students. ","Although most of the companies have more demands in infracstructure engineers than IT engineers, these demands in return inspires my thoughts on future career path planning. Personally, I think that rather to ask for a low-demanded IT position in infracstructure companies, I would prefer to pursue a higher degree of master or even PhD, so that I can work more on the machine learning, which relates to reverse brain engineering.",2/18/2023,2/18/2023,Events (saseconnect.org) ,"WeChat Image_20230505121455.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/qUHqiw2zmtnoxBejGTVmOw/FrGxC1k3Ab9h8wVmOhv7EbVXEQgq4f6umh8niC0VSHVBQ7zlR9LwPSRB20rvMAtcGRsgNb3H9fIG6_ey43lH6pqsuScouKvOlNFi2U9rZhmcb9fxzJy60dErtJeZllDDuQDRW8EUJQ-beH-aKayB685hn0Syk1mPlBrACOgERII/Jgrl9eI61qcBxf2nGHefc3t6lcAL2a2MfxOVZEQFhgw),WeChat Image_202305051214551.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/-GgaWEaBOVf1ijE7q_b-cA/KZLMBEwELKRsZ6rJdrhnsZUUq00eBm5lRGhgoAtd_toawG_o1uQdo1HTwSClR0FMwkqMFoWvxlzo3-FaKVnkwmHKTzpZ3CKughRAgryMvk_2mi4_fU2JWZl09NelgUBi99v_e5sJhhzRFkT5grx9dB5tsUTsrw2qoqqstVChIm4/SaDffr4DRhaIQeoRiuRnJKV96RcHSKNrnPdmnHTRYYc),WeChat Image_202305051214552.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/KFMM6iWwglQXuzWVP2coIQ/9s2Bcpdmg3QQajfydwU3TEYzM-FgYHPxIcQQaolRcoKU8hlU3BwHFSVrQu6adjjWrjR2SXOBcKJZ71-KkL2y_xDPikoyLXS-I8m3FwHx8xehK82T6j2nIOIDW74y5brX5yYzzQQbSxaVgsGXMg4C38pK5hHuEradqpWdCDtqaLM/6ZLzfDvutV28xUT5_CI7ULNUazLgY7YDZIi51DTS51E)", ,"Communications/IT, Data Science/AI/Robotics, Sustainability, Urban",Through NYU SASE club,"Boston, Masechusetts, United States",Yes,Spring/Summer Senior
Global Tech Experience,Professional Development,Special Course,"a virtual study abroad program that provides students with access to real-world, hands-on, global education focusing on web development. It provides with the technical and intercultural skills needed to succeed in the global workforce, without the requirement to travel. ","Advance Health infomatics - While the program may not have a direct connection to this challenge, the web development skills and knowledge I gained through the program can contribute to the spread of ideas and health informatics through building websites.","The skill I learned from this experience, web development, is a specialized field within computer science that focuses specifically on building websites and web applications.  However, the skills and knowledge I gained through learning web development can also be beneficial for general computer scientists, including the programming skills, database management, UX design and group collaboration I learned throughout global tech session.",7/1/2022,8/1/2023,The Global Tech Experience (nyu.edu) ,, ,"Communications/IT, Emerging Media",GLASS required,Online,Yes,"Spring/Summer Sophomore , Spring/Summer Junior"
2023 International Conference on Information Technology and Contemporary Sports (TCS),Global Competency,Conference,"The TCS 2023 Conference provides a wonderful forum for me to update my knowledge base and explore the innovations in Artificial Intelligence, Control and Robotics Engineering. I will also get to meet and interact with the leading scientists, engineers and researchers, friends and colleagues as well as sponsors and exhibitors.","It connects to the reverse brain engineering, as nowadays we are trying to build robots simulating human intelligence for different tasks, targetly applying different machine learning techniques are vital for this goal. Therefore, I was be able to see the new state-of-the-art literature and research work on this field that helps inspire my own academic interest.","As my research interest is also computer vision and robotics, I believe that this conference will grant me new vision on viewing different problems on the field of AI and Robotics. Also, I plan to meet and expand my network by getting to know more AI scientists in the conference",12/22/2023,12/24/2023,2023 3rd International Conference on Information Technology and Contemporary Sports (TCS 2023) (icitcs.net) ,, ,"Communications/IT, Data Science/AI/Robotics",Website,"Guangzhou, China",Yes,Spring/Summer Junior
Treasurer at Tandon Navigators,Leadership Development,Student Activity/Event/Club,"I am responsible for handling money within the Tandon Navigator club. I typically manages the finances of the club, as well as reimbursements of the club's purchases. I am responsible for ensuring the club has the necessary funds to be successful.","Tandon Navigators is a student-led on-campus Christian Fellowship. By helping and expanding our club, we are essentially providing a community for students with Christian faith, which promotes inclusivity and diversity on campus. This relates to advanced personal learning goal for students in their college experience in NAE grand challenges, as well as the peace, justice and strong institutions in UN sustainable goals.","For personal development, I am able to find a community with engineers sharing the same passion.  Although this club and experience is not directly connected to my major of computer science, I am inspired to promote diversity and inclusivity on the NYU campus. In trms of leadership, the experience of being a treasurer teaches me how to stay organized and manage finance.",9/4/2023,5/1/2024,NYU Engage - The Navigators - About This Organization ,"Weixin Image_20231220005553.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/9fA5nKnBrAkrCxLyDS4IKQ/fhRq8SM8h3fPsXfO2kcvZmr049PnL87xFC8zlDlVNx2tPtRk2LBBqlkCGegLLW3_tp5QWTadMg9MZ2LDdZXNyX1l4kweqmUDP7GnhFoZv_qHtFTYoBc5EpQ3HQU3_abLv42TqSNfZ2cBJP0VsE5j1q4LKisAO7hLRUtcbrBrMBY/1IT5w8ksDrB9uZeeTzn1sL0QI_LI9qPS9V7sEs2hJ7I),Weixin Image_20231220005547.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/MW5MqhiCii8FOe-Dh4BKDg/TVAe2Vn3trKrF58fNWpQ7Nv1YQvLu5-8XVWM0SEFGbcTrdYTsRPkIg9ihUKXUP30HlwAwfqE197ieESU6vBjx4EwKzDCJhqxPQFGmwa1-qdUAihRXvdODMOHYvTUpdgP_EdsLdpuyy7JccKT86WdHhyhvDINi7ISNbDBMYpfspM/o5_68OT6VzadrkwIUWdGMgyCZ-o-v6bErm05rsjf0cE),IMG_6987.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/duXFv7IRVrQ4uUfWcYYMiw/D1l9YY8GgaloBmaqzB6tf_ITwAgrKairM5ttVWakGXvQr-bc23kjqQbltgdKgzrGn8E4qlFv1_KufgLHdJnm6hA9qKPXwTEfR2KFdIKSqSyjXxp2DqAx-vjI8EhbxNS8NFoJTKQbsiEALHbKFCYpwg/hSNjIPUaIeAv87-KZUFn4ZyzCpuztae7B1HBNji-Z5A)","1. Gathering meal

1. Retreat

1. Broadway show",Communications/IT,I was invited to the e-board last semester since I was an active club member,"United States, New York, New York",No,Fall/ Winter Senior
Software Engineer at Dataval Ventures x Future Lab,Professional Development,Employment/Job,"During my position, I was tasked with making an interactive user interface. Throughout the semester, I was tasked with designing and implementing the deliverables, as well as writing business analysis report on Dataval Ventures.","This is related to the UN sustainable goal of Industry, Innovation and Infracstructure. Dataval Ventrue aims to foster an easily accessible online data marketplace, which would make data trading more convenient. Thus, this is essentially providing infracstructure that allows AI developers to innovate and iterate their AI models by having data more easily accessible.","This experience helps my professional development because it provides me an oppurtunity to get hands-on industry experiences with software engineering. I was able to apply what I've learned in class into real prototyping. What's more, during this internship experience, I was able to adapt to a workplace environment and collaborate in teams. I believe this experience was invaluable to both my professional and academic career.",9/4/2023,12/12/2023,"(29) DataVal Ventures, Inc: About | LinkedIn ",, ,"Data Science/AI/Robotics, Communications/IT",Future Labs,"United States, New York, New York",No,Fall/ Winter Senior
NYC Food Bank Volunteer at Rauschenbusch Metro Ministries,Commitment to Service,Volunteer Event/Experience,"During my time volunteering at the food bank, I engaged in a range of activities aiming to combat food insecurity and support hells's kitchen community members in need. My responsibilities encompassed several key areas, including fridge/basket cleaning, unloading food truck, sorting food and toiletries. These tasks contributes to the overall mission of reducing hunger and providing nutritional and sanitization support to those who need it most.  ","My participation in the food bank volunteer program is a reflection of my personal mission statement, which emphasizes the importance of leadership in service to society. This experience has not only allowed me to directly contribute to the UN SDG of Zero Hunger but has also reinforced my belief in the transformative power of compassionate leadership. By engaging in this initiative, I have taken a small yet significant step towards fulfilling my commitment to making the world a better place, embodying the GLASS program's values of global leadership and academic excellence in the process. ","The impact of my involvement with the food bank was multifaceted. On a practical level, my efforts, along with those of my fellow volunteers, directly contributed to alleviating hunger by distributing essential food supplies and toiletries to families in need. Beyond the immediate benefit, this experience fostered a sense of community and solidarity, reminding us of the power of collective action in addressing global challenges. It also provided a practical application of the GLASS program's goal to develop leaders who are ready and willing to serve their communities. ",2/16/2024,2/16/2024,New York Cares | Project | New York Cares ,WeChat Image_20240501012133.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/bcDf1vPvM95XWOI-TypnQw/KIPqTXbHTFYIdZmfLIYmg94eNrlQ_3PCSECaqaCgYkZwdlBrK74vNcJGAbAKF7Cg0-dAf9bzOepYkBOn-TwuDpVa-W0kxwrQSgVcQ7RmTBB68UFoTh4kSoOlB1cfGlLYwuUSZDx1v1YqBvYHqZnxdUGI-6DoLZW2d5dzPu0iI8Dp0tNl_wDscBb_tkZS7N1Y/_dM1IzHy7dgpTAx_e56ijqImBpwFUJdPb38bGTRryGk),Unloading and sorting the food,"Urban, Health, Sustainability","Through New York Care, which is a website providing a platform for volunteering oppurtunities","Hell's Kitchen, New York, NY",No,Spring/Summer Senior
Web Developer of NYU 17 Rooms,Commitment to Service,"Student Activity/Event/Club,Volunteer Event/Experience,Special Program","As the web developer for the NYU 17 Rooms, I was responsible for developing the online platform that served as the home page for NYU 17 Rooms, which provides comprehensive information about how 17 Rooms conference works, and provides a sign-up pages for students who are interested in joining this initiative","Althogh we are still undertaking the development process and the initiative is still undergoing fundraising before the actual conference is hosted, the potential impact of the NYU 17 Rooms can extending beyond the digital realm into tangible community engagement and action towards the SDGs. By providing a central hub for information and collaboration, the website will play a key role in increasing awareness and understanding of the goals among the NYU community. It can help highlight and amplify various projects, initiatives, and events taking place within NYU and the broader community aimed at addressing the SDGs, thereby contributing to more coordinated and effective approaches to global challenges. ","My decision to serve as the web developer for the NYU 17 Rooms stemmed from a deep commitment to leveraging technology for social good. Using digital platforms in mobilizing communities, spreading awareness, and fostering actionable change towards global sustainability goals. This project represented a unique opportunity to contribute my technical skills towards a cause that is critical for our collective future – the achievement of the SDGs. 

This experience as a web developer for the NYU 17 Rooms closely aligns with my mission statement, which emphasizes the importance of using one's skills and resources to contribute to societal betterment and sustainability. Through this project, I was able to directly apply my technical expertise towards advancing the SDGs. This initiative was a manifestation of my dedication to service, leadership, and the pursuit of a sustainable future, embodying the values and objectives of the GLASS program at NYU. ",2/1/2024,6/1/2024,17 Rooms (rockefellerfoundation.org) ,WeChat Image_20240501014029.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/5anKW0TKr5kCJWFaZMS7rw/FlN5EyLNqYLzJq3jblNjyaUUwrHvylMn2iLzgaMxRHJEp4LXFoENJnp_2es5t2cTeHEEPUqgW6zsUCJlZHuecgp3q3lPhka0IlWwLvPuz3utxzdUid0_tl4xAJEU9jRZvd5lu8-MybkSItSr6xanPfuxV_9y6nO82-1S6yQEUo5BvuCDTeLuWAK58HGGzQUB/GczOYDmnGCGE7VraZj3iGm7XqO1kIkF3zNjab6cJcx0),Website in Progress,"Communications/IT, Sustainability, Urban",The oppurtunity was introduced from a friend then I passed the interview,"New York, NY, US",No,Spring/Summer Senior
NYU Abu Dhabi Visiting Student Research Assistantship,Academic Excellence,Research/Lab Work,"Through the NYU Abu Dhabi Visiting Student Research Assistantship, I conducted research in the Laboratory for Immuno Bioengineering Research and Applications (LIBRA) with Professor Teo. I performed T-cell exhaustion tests on collagen hydrogels to better understand interactions between Antigen-Presenting Cells and T-cells, with an application in T-cell therapy. In addition, I performing serial dilutions with T-cell markers on Jurkat cells, utilizing the cytometer and fluorescence-activated cell sorting. ","This relates to the Grand Challenge of Engineering Better Medicines, as I was able to create an artificial antigen presenting cell biosystem, better understand T cell proliferation for cancer therapy applications, and better understand the interactions between immune cells. It also applies to the UN Sustainable Development goals of Good Health & Wellbeing, and Reduced Inequalities. As we get closer to understanding CAR T cell therapy, we get closer to developing personalized and effective treatments. In addition, as we better understand the immune system and cell interactions, we get closer to understanding illnesses and treatment responses. ","This was my first research experience, and I was fortunate enough to shadow and conduct research with biomaterials. Through this experience, I learned more about a field that I am now interested in pursuing, immunology. In addition, the lab focused on microgravity, which is very niche and unique. The researchers in the lab encouraged me to ask questions and learn new laboratory techniques, and it confirmed that I would like to continue lab research back in New York during my undergraduate studies, as well as after. ",1/20/2022,5/20/2022,https://nyuad.nyu.edu/en/research/faculty-labs-and-projects/laboratory-for-immuno-bioengineering-research-and-application.html,"296481735_756242832157499_3230744221124427179_n.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/O1tdcnyOS4oA_cDEWWvefQ/MODfPRjaVr_tglvi5lWD_4qCrZ4suKo181EIkiXZFQc1FTilPQIRUQvnFdCbvivl9g0ylatbRGTTl7TI5AFoZVWSPFR35olLWtZcPUrW_R9CnS0Er9iE0dKz0UgAznJoEx6NxIqESQMt2pp4iae2DWH0VnMAz2Y_i3lS8WWpEXnqXf_rSQhdDd80jkgU8Zd8/gyoQ_-N1QrGmyrKAqXoDwG85n_WhFjFDmAnuIvGGJdo),297576527_599115778337827_7203845141154397173_n.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/N9ysszWucuZl_KjGn2wtPw/aUtbKVdVS058ia_KigeUvviaF67EatGqDPV57SWEnxwVYzEBivv6WGI3zpZl1bTSJ9sj1-8Px1CurkSK5kOnitWirzN2ZalHhVTQkbUPFTgFUcUW4OSFU3prXx4418pgslouRlHDHD7qFXB04UNDd2JyBtJY0EV6xXhC50hbY2qd-El8AcQZHHqfKmTxgcI_/xwtdz-kOuIzYNF5EwTcrVM27WVHFrDoAVDU5NSXB3ZY)",Preparing collagen hydrogels for T cell exhaustion tests at the Laboratory forfor Immuno Bioengineering Research and Applications. ,Health,"It is publicized as one of NYUAD's various opportunities here: https://nyuad.nyu.edu/en/academics/undergraduate/visiting-students/visiting-undergraduate-research-assistantship.html#:~:text=The%20assistantship%20creates%20a%20platform,art%20research%20facilities%20on%20campus.","UAE, Abu Dhabi",No,Spring/Summer Sophomore 
Tandon Fall 2021 Virtual Career Fair,Professional Development,Student Activity/Event/Club,"In Fall 2021, I attended the Tandon Virtual Career Fair. Through this experience, I was able to meet 1-1 with a recruiter from Scripps Research, a research company located in La Jolla. ","This connects to the Grand Challenge of Engineering Better Medicines, as Scripps Research is involved in many fields pertaining to Chemistry, Immunology & Microbiology, Integrative Structural & Computational Biology, Molecular Medicine, and Neuroscience. I was particularly interested in the fields Molecular Medicine and Immunology & Microbiology. In addition, concerning the UN Sustainable Development Goal of Partnerships for the Goals, if I decide to apply for their research programs or positions in the future, then I would be able to collaborate and engage in opportunities that develop biomaterials.   ","This experience allowed me to step out of my comfort zone and take initiative in putting myself out there. In the future, I will need to present my motivations and experience to potential employers as well. I was also able to search through the companies that were participating in the Career Fair, and note down some companies that I am interested in working with in the future. I intend to continue networking among peer and mentor researchers, and continue developing my portfolio. ",9/17/2021,9/17/2021,https://www.scripps.edu/,,n/a,Health,The Handshake and Wasserman newsletter informed me of this opportunity. ,"Virtual, over Zoom",No,Fall/Winter Sophomore
